DLSOCTVProces
682.000000 684.000000 488.000000 box dimensions in microns
10   10   10	number of tissue points in x,y,z directions
100.	outer bound distance (100. in test case)
10.	max. segment length.  (5. in test case)
5 nodsegm, max. allowed number of segments per node
5078 total number of segments
name type from  to  diam flow HD
994 4 2793 201   7.200 -746.682  0.4000
998 4 199 295   7.200 1268.086  0.4000
1000 4 162 2801  19.200 3387.926  0.4000
1004 4 2801 2803  19.200 3387.926  0.4000
1006 6 2803 2804  19.200 3387.926  0.4000
1007 6 2804 2805  19.200 3387.926  0.4000
1008 6 2805 2806  19.200 3387.926  0.4000
1009 6 2806 203  19.200 3387.926  0.4000
1010 4 162 2809  35.700 -5013.449  0.4000
1013 4 2809 3167  35.700 -5013.449  0.4000
1014 4 147 205  10.200 -293.794  0.4000
1015 4 91 2813   7.200 -20.467  0.4000
1019 4 2813 206   7.200 -20.467  0.4000
1023 4 91 2820   4.200   4.340  0.4000
1027 4 2820 2823   4.200   4.340  0.4000
1030 6 2823 207   4.200   4.340  0.4000
1031 4 37 2827   6.200 -60.868  0.4000
1035 4 2827 2831   6.200 -60.868  0.4000
1039 4 2831 208   6.200 -60.868  0.4000
1040 4 102 3100   5.700  29.366  0.4000
1041 4 102 210   9.700 1601.845  0.4000
1042 6 105 211  16.200 -3494.635  0.4000
1043 4 105 212  12.200 705.488  0.4000
1044 6 138 2832  13.200 -2317.779  0.4000
1045 6 2832 213  13.200 -2317.779  0.4000
1048 6 2834 2835  10.200 356.814  0.4000
1049 6 2835 2836  10.200 356.814  0.4000
1050 6 2836 214  10.200 356.814  0.4000
1055 4 130 185   6.200 -146.054  0.4000
1058 4 2842 215  42.200 34354.746  0.4000
1059 6 2843 216   6.200  92.861  0.4000
1060 4 111 217   9.200  44.749  0.4000
1065 4 176 2850   7.200 -77.929  0.4000
1069 4 2850 218   7.200 -77.929  0.4000
1072 4 176 2857   6.200 -35.353  0.4000
1077 4 2857 219   6.200 -35.353  0.4000
1078 4 180 2863   5.200  42.301  0.4000
1084 4 2863 2867   5.200  42.301  0.4000
1088 4 2867 220   5.200  42.301  0.4000
1091 4 180 221   5.700 182.346  0.4000
1094 4 184 2875   8.200 -111.164  0.4000
1098 4 2875 222   8.200 -111.164  0.4000
1103 4 223 11937   4.200 -10.243  0.4000
1104 4 224 2884   8.200 -92.015  0.4000
1109 4 2884 2888   8.200 -92.015  0.4000
1113 6 2888 2889   8.200 -92.015  0.4000
1114 4 2889 225   8.200 -92.015  0.4000
1116 4 196 2895   6.200 -28.070  0.4000
1121 4 2895 2899   6.200 -28.070  0.4000
1125 6 2899 2900   6.200 -28.070  0.4000
1126 6 2900 2901   6.200 -28.070  0.4000
1127 6 2901 226   6.200 -28.070  0.4000
1128 4 205 3422   4.700  11.854  0.4000
1130 6 205 228  10.700 -305.648  0.4000
1133 4 11677 229  45.200 -1118.597  0.4000
1135 4 229 230  22.200 -12.158  0.4000
1139 4 229 2912  41.200 -1106.439  0.4000
1143 4 2912 231  41.200 -1106.439  0.4000
1147 4 139 2916  20.700 17038.162  0.4000
1148 6 2916 2917  20.700 17038.162  0.4000
1149 6 2917 2918  20.700 17038.162  0.4000
1150 6 2918 2919  20.700 17038.162  0.4000
1151 6 2919 2920  20.700 17038.162  0.4000
1152 6 2920 2921  20.700 17038.162  0.4000
1153 6 2921 2922  20.700 17038.162  0.4000
1154 6 2922 2923  20.700 17038.162  0.4000
1155 4 2923 2925  20.700 17038.162  0.4000
1157 6 2925 232  20.700 17038.162  0.4000
1158 4 220 2930   6.200   8.451  0.4000
1163 4 2930 233   6.200   8.451  0.4000
1165 4 220 234   7.700  33.850  0.4000
1166 4 152 2935   5.200  34.926  0.4000
1170 4 2935 236   5.200  34.926  0.4000
1174 4 152 2939  10.200 -114.308  0.4000
1175 6 2939 2940  10.200 -114.308  0.4000
1176 4 2940 2941  10.200 -114.308  0.4000
1177 6 2941 237  10.200 -114.308  0.4000
1179 6 2942 2943   5.700  21.379  0.4000
1180 6 2943 2944   5.700  21.379  0.4000
1181 6 2944 2945   5.700  21.379  0.4000
1182 6 2945 2946   5.700  21.379  0.4000
1183 6 2946 2947   5.700  21.379  0.4000
1184 6 2947 2948   5.700  21.379  0.4000
1185 6 2948 238   5.700  21.379  0.4000
1186 4 184 239   5.200  53.645  0.4000
1190 4 240 188   7.200 139.773  0.4000
1191 4 188 241   4.200  -1.437  0.4000
1193 4 196 2953  13.200 -2648.618  0.4000
1194 6 2953 242  13.200 -2648.618  0.4000
1199 4 2957 2961   6.700  31.751  0.4000
1203 4 2961 2966   6.700  31.751  0.4000
1208 4 2966 243   6.700  31.751  0.4000
1211 4 2971 246   7.200  -7.693  0.4000
1214 4 2971 245   7.200   7.693  0.4000
1222 4 248 2982   7.200 119.111  0.4000
1227 4 2982 249   7.200 119.111  0.4000
1228 4 250 2987   5.700 -29.366  0.4000
1233 4 2987 3100   5.700 -29.366  0.4000
1234 4 250 2993   7.200 -109.236  0.4000
1240 4 2993 218   7.200 -109.236  0.4000
1242 4 210 218  10.700 187.165  0.4000
1243 4 210 2996   8.700 1414.680  0.4000
1245 6 2996 252   8.700 1414.680  0.4000
1246 4 253 3000   7.200 -49.595  0.4000
1250 4 3000 3006   7.200 -49.595  0.4000
1256 4 3006 233   7.200 -49.595  0.4000
1262 4 254 253   7.200 -83.824  0.4000
1263 4 128 255   8.700 -108.379  0.4000
1264 4 150 3015   6.200 -38.843  0.4000
1268 4 3015 3019   6.200 -38.843  0.4000
1272 6 3019 3020   6.200 -38.843  0.4000
1273 6 3020 179   6.200 -38.843  0.4000
1274 4 120 256   9.200 -526.891  0.4000
1278 4 120 3024   6.200 -70.891  0.4000
1279 6 3024 3025   6.200 -70.891  0.4000
1280 6 3025 3026   6.200 -70.891  0.4000
1281 6 3026 3027   6.200 -70.891  0.4000
1282 6 3027 3028   6.200 -70.891  0.4000
1283 4 3028 3030   6.200 -70.891  0.4000
1285 6 3030 3031   6.200 -70.891  0.4000
1286 6 3031 3032   6.200 -70.891  0.4000
1287 4 3032 257   6.200 -70.891  0.4000
1288 4 258 3036   5.200  -4.615  0.4000
1292 6 3036 3037   5.200  -4.615  0.4000
1293 4 3037 3038   5.200  -4.615  0.4000
1294 6 3038 3039   5.200  -4.615  0.4000
1295 4 3039 3043   5.200  -4.615  0.4000
1302 4 259 3043   5.200   4.615  0.4000
1303 4 258 169   8.200 -20.752  0.4000
1304 4 258 217   6.200  25.367  0.4000
1308 4 242 3053   6.200 -63.538  0.4000
1313 4 3053 159   6.200 -63.538  0.4000
1315 4 262 263  10.200 -678.061  0.4000
1319 4 263 3062  11.200 -351.891  0.4000
1324 4 3062 3067  11.200 -351.891  0.4000
1329 4 3067 264  11.200 -351.891  0.4000
1331 6 263 3069   7.200 -326.170  0.4000
1332 6 3069 265   7.200 -326.170  0.4000
1333 4 99 3075   6.200  10.218  0.4000
1339 4 3075 3080   6.200  10.218  0.4000
1344 4 3080 266   6.200  10.218  0.4000
1347 4 99 267   5.700 -44.848  0.4000
1348 4 248 268   6.200 -94.852  0.4000
1352 4 248 3089   5.700 -24.259  0.4000
1356 4 3089 3093   5.700 -24.259  0.4000
1360 4 3093 269   5.700 -24.259  0.4000
1361 4 250 3095   6.200 138.602  0.4000
1363 6 3095 3096   6.200 138.602  0.4000
1364 4 3096 270   6.200 138.602  0.4000
1370 4 103 272   6.700  -2.364  0.4000
1373 4 231 3106  16.200 -1104.929  0.4000
1377 4 3106 3111  16.200 -1104.929  0.4000
1382 4 3111 3116  16.200 -1104.929  0.4000
1388 4 235 3116  16.200 1104.929  0.4000
1392 4 274 231   7.200   1.511  0.4000
1394 4 211 3121  10.200 -2390.116  0.4000
1395 6 3121 252  10.200 -2390.116  0.4000
1396 6 211 275  13.700 -1104.519  0.4000
1397 6 253 3122   5.200 -34.230  0.4000
1398 4 3122 3126   5.200 -34.230  0.4000
1402 4 3126 276   5.200 -34.230  0.4000
1405 4 212 277   7.200 873.938  0.4000
1407 4 150 3133   4.200 -21.375  0.4000
1411 4 3133 278   4.200 -21.375  0.4000
1413 4 279 181   7.200 480.552  0.4000
1414 4 181 256  10.200 487.346  0.4000
1416 4 280 281   5.200  39.942  0.4000
1421 4 215 3142  22.200 21142.951  0.4000
1425 4 3142 3143  22.200 21142.951  0.4000
1426 6 3143 3144  22.200 21142.951  0.4000
1427 6 3144 3145  22.200 21142.951  0.4000
1428 6 3145 3146  22.200 21142.951  0.4000
1429 6 3146 3147  22.200 21142.951  0.4000
1430 6 3147 3148  22.200 21142.951  0.4000
1431 6 3148 3149  22.200 21142.951  0.4000
1432 6 3149 3150  22.200 21142.951  0.4000
1433 6 3150 3151  22.200 21142.951  0.4000
1434 4 3151 3154  22.200 21142.951  0.4000
1437 6 3154 3155  22.200 21142.951  0.4000
1438 6 3155 3156  22.200 21142.951  0.4000
1439 6 3156 3157  22.200 21142.951  0.4000
1440 6 3157 3158  22.200 21142.951  0.4000
1441 4 3158 282  22.200 21142.951  0.4000
1443 4 123 283  13.200  23.838  0.4000
1444 4 94 3162   6.700  -8.493  0.4000
1448 4 3162 284   6.700  -8.493  0.4000
1454 4 3167 3172  35.700 -5013.449  0.4000
1459 4 3172 285  35.700 -5013.449  0.4000
1462 4 287 3177   4.700 -14.663  0.4000
1465 6 3177 3178   4.700 -14.663  0.4000
1466 6 3178 3179   4.700 -14.663  0.4000
1467 6 3179 3180   4.700 -14.663  0.4000
1468 4 3180 288   4.700 -14.663  0.4000
1469 4 287 255   7.200  21.409  0.4000
1473 6 255 3184   7.200 -86.970  0.4000
1474 6 3184 3185   7.200 -86.970  0.4000
1475 6 3185 3186   7.200 -86.970  0.4000
1476 6 3186 3187   7.200 -86.970  0.4000
1477 4 3187 3191   7.200 -86.970  0.4000
1485 4 289 3191   7.200  86.970  0.4000
1488 4 290 212   6.200 168.450  0.4000
1489 4 219 3201   4.200   6.259  0.4000
1493 6 3201 3202   4.200   6.259  0.4000
1494 6 3202 291   4.200   6.259  0.4000
1495 4 116 3203   5.200 -37.492  0.4000
1496 6 3203 292   5.200 -37.492  0.4000
1497 4 189 3208   6.700  96.764  0.4000
1502 4 3208 3212   6.700  96.764  0.4000
1506 6 3212 3213   6.700  96.764  0.4000
1507 6 3213 293   6.700  96.764  0.4000
1508 4 157 3218   5.200  -9.604  0.4000
1513 4 3218 294   5.200  -9.604  0.4000
1515 4 287 3221   4.200  -6.747  0.4000
1519 4 221 296   4.200  10.262  0.4000
1522 4 221 3227   7.200 172.085  0.4000
1526 4 3227 236   7.200 172.085  0.4000
1527 4 296 3232   5.700   0.849  0.4000
1532 6 3232 3233   5.700   0.849  0.4000
1533 4 3233 3234   5.700   0.849  0.4000
1534 6 3234 3235   5.700   0.849  0.4000
1535 4 3235 297   5.700   0.849  0.4000
1536 4 296 3239   7.200   9.413  0.4000
1540 4 3239 298   7.200   9.413  0.4000
1542 4 133 299   8.700 -377.115  0.4000
1545 6 133 300  12.200 -1221.343  0.4000
1546 4 189 302   4.200 -87.508  0.4000
1548 6 157 3244   6.200 -37.302  0.4000
1549 4 3244 3245   6.200 -37.302  0.4000
1550 6 3245 3246   6.200 -37.302  0.4000
1551 4 3246 303   6.200 -37.302  0.4000
1556 6 201 3251   7.200 -746.682  0.4000
